DateKey	DayNumberOfWeek	SpanishDayNameOfWeek	FrenchDayNameOfWeek	DayNumberOfMonth	DayNumberOfYear	WeekNumberOfYear	EnglishMonthName	SpanishMonthName	FrenchMonthName	MonthNumberOfYear	CalendarQuarter	CalendarYear	CalendarSemester	FiscalQuarter	FiscalYear	FiscalSemester	Friday	Monday	Saturday	Sunday	Thursday	Tuesday	Wednesday
20170725	3	Martes	Mardi	25	206	30	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	null	null	null	2017-07-25	null
20170726	4	Miércoles	Mercredi	26	207	30	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	null	null	null	null	2017-07-26
20170727	5	Jueves	Jeudi	27	208	30	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	null	null	2017-07-27	null	null
20170728	6	Viernes	Vendredi	28	209	30	July	Julio	Juillet	7	3	2017	2	1	2018	1	2017-07-28	null	null	null	null	null	null
20170729	7	Sábado	Samedi	29	210	30	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	2017-07-29	null	null	null	null
20170730	1	Domingo	Dimanche	30	211	31	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	null	2017-07-30	null	null	null
20170731	2	Lunes	Lundi	31	212	31	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	2017-07-31	null	null	null	null	null
20170801	3	Martes	Mardi	1	213	31	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	null	null	null	2017-08-01	null
20170802	4	Miércoles	Mercredi	2	214	31	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	null	null	null	null	2017-08-02
20170803	5	Jueves	Jeudi	3	215	31	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	null	null	2017-08-03	null	null
20170804	6	Viernes	Vendredi	4	216	31	August	Agosto	Août	8	3	2017	2	1	2018	1	2017-08-04	null	null	null	null	null	null
20170805	7	Sábado	Samedi	5	217	31	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	2017-08-05	null	null	null	null
20170806	1	Domingo	Dimanche	6	218	32	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	null	2017-08-06	null	null	null
20170807	2	Lunes	Lundi	7	219	32	August	Agosto	Août	8	3	2017	2	1	2018	1	null	2017-08-07	null	null	null	null	null
20170808	3	Martes	Mardi	8	220	32	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	null	null	null	2017-08-08	null
20170809	4	Miércoles	Mercredi	9	221	32	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	null	null	null	null	2017-08-09
20170810	5	Jueves	Jeudi	10	222	32	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	null	null	2017-08-10	null	null
20170811	6	Viernes	Vendredi	11	223	32	August	Agosto	Août	8	3	2017	2	1	2018	1	2017-08-11	null	null	null	null	null	null
20170812	7	Sábado	Samedi	12	224	32	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	2017-08-12	null	null	null	null
20170813	1	Domingo	Dimanche	13	225	33	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	null	2017-08-13	null	null	null
20170814	2	Lunes	Lundi	14	226	33	August	Agosto	Août	8	3	2017	2	1	2018	1	null	2017-08-14	null	null	null	null	null
20170815	3	Martes	Mardi	15	227	33	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	null	null	null	2017-08-15	null
20170816	4	Miércoles	Mercredi	16	228	33	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	null	null	null	null	2017-08-16
20170817	5	Jueves	Jeudi	17	229	33	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	null	null	2017-08-17	null	null
20170818	6	Viernes	Vendredi	18	230	33	August	Agosto	Août	8	3	2017	2	1	2018	1	2017-08-18	null	null	null	null	null	null
20170819	7	Sábado	Samedi	19	231	33	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	2017-08-19	null	null	null	null
20170820	1	Domingo	Dimanche	20	232	34	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	null	2017-08-20	null	null	null
20170821	2	Lunes	Lundi	21	233	34	August	Agosto	Août	8	3	2017	2	1	2018	1	null	2017-08-21	null	null	null	null	null
20170822	3	Martes	Mardi	22	234	34	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	null	null	null	2017-08-22	null
20170823	4	Miércoles	Mercredi	23	235	34	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	null	null	null	null	2017-08-23
20170824	5	Jueves	Jeudi	24	236	34	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	null	null	2017-08-24	null	null
20170825	6	Viernes	Vendredi	25	237	34	August	Agosto	Août	8	3	2017	2	1	2018	1	2017-08-25	null	null	null	null	null	null
20170826	7	Sábado	Samedi	26	238	34	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	2017-08-26	null	null	null	null
20170827	1	Domingo	Dimanche	27	239	35	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	null	2017-08-27	null	null	null
20170828	2	Lunes	Lundi	28	240	35	August	Agosto	Août	8	3	2017	2	1	2018	1	null	2017-08-28	null	null	null	null	null
20170829	3	Martes	Mardi	29	241	35	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	null	null	null	2017-08-29	null
20170830	4	Miércoles	Mercredi	30	242	35	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	null	null	null	null	2017-08-30
20170831	5	Jueves	Jeudi	31	243	35	August	Agosto	Août	8	3	2017	2	1	2018	1	null	null	null	null	2017-08-31	null	null
20170901	6	Viernes	Vendredi	1	244	35	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	2017-09-01	null	null	null	null	null	null
20170902	7	Sábado	Samedi	2	245	35	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	null	2017-09-02	null	null	null	null
20170903	1	Domingo	Dimanche	3	246	36	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	null	null	2017-09-03	null	null	null
20170904	2	Lunes	Lundi	4	247	36	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	2017-09-04	null	null	null	null	null
20170905	3	Martes	Mardi	5	248	36	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	null	null	null	null	2017-09-05	null
20170906	4	Miércoles	Mercredi	6	249	36	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	null	null	null	null	null	2017-09-06
20170907	5	Jueves	Jeudi	7	250	36	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	null	null	null	2017-09-07	null	null
20170908	6	Viernes	Vendredi	8	251	36	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	2017-09-08	null	null	null	null	null	null
20170909	7	Sábado	Samedi	9	252	36	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	null	2017-09-09	null	null	null	null
20170910	1	Domingo	Dimanche	10	253	37	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	null	null	2017-09-10	null	null	null
20170911	2	Lunes	Lundi	11	254	37	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	2017-09-11	null	null	null	null	null
20170912	3	Martes	Mardi	12	255	37	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	null	null	null	null	2017-09-12	null
20170913	4	Miércoles	Mercredi	13	256	37	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	null	null	null	null	null	2017-09-13
20170914	5	Jueves	Jeudi	14	257	37	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	null	null	null	2017-09-14	null	null
20170915	6	Viernes	Vendredi	15	258	37	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	2017-09-15	null	null	null	null	null	null
20170916	7	Sábado	Samedi	16	259	37	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	null	2017-09-16	null	null	null	null
20170917	1	Domingo	Dimanche	17	260	38	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	null	null	2017-09-17	null	null	null
20170918	2	Lunes	Lundi	18	261	38	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	2017-09-18	null	null	null	null	null
20170919	3	Martes	Mardi	19	262	38	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	null	null	null	null	2017-09-19	null
20170920	4	Miércoles	Mercredi	20	263	38	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	null	null	null	null	null	2017-09-20
20170921	5	Jueves	Jeudi	21	264	38	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	null	null	null	2017-09-21	null	null
20170922	6	Viernes	Vendredi	22	265	38	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	2017-09-22	null	null	null	null	null	null
20170923	7	Sábado	Samedi	23	266	38	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	null	2017-09-23	null	null	null	null
20170924	1	Domingo	Dimanche	24	267	39	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	null	null	2017-09-24	null	null	null
20170925	2	Lunes	Lundi	25	268	39	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	2017-09-25	null	null	null	null	null
20170926	3	Martes	Mardi	26	269	39	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	null	null	null	null	2017-09-26	null
20170927	4	Miércoles	Mercredi	27	270	39	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	null	null	null	null	null	2017-09-27
20170928	5	Jueves	Jeudi	28	271	39	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	null	null	null	2017-09-28	null	null
20170929	6	Viernes	Vendredi	29	272	39	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	2017-09-29	null	null	null	null	null	null
20170930	7	Sábado	Samedi	30	273	39	September	Septiembre	Septembre	9	3	2017	2	1	2018	1	null	null	2017-09-30	null	null	null	null
20171001	1	Domingo	Dimanche	1	274	40	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	null	2017-10-01	null	null	null
20171002	2	Lunes	Lundi	2	275	40	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	2017-10-02	null	null	null	null	null
20171003	3	Martes	Mardi	3	276	40	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	null	null	null	2017-10-03	null
20171004	4	Miércoles	Mercredi	4	277	40	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	null	null	null	null	2017-10-04
20171005	5	Jueves	Jeudi	5	278	40	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	null	null	2017-10-05	null	null
20171006	6	Viernes	Vendredi	6	279	40	October	Octubre	Octobre	10	4	2017	2	2	2018	1	2017-10-06	null	null	null	null	null	null
20171007	7	Sábado	Samedi	7	280	40	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	2017-10-07	null	null	null	null
20171008	1	Domingo	Dimanche	8	281	41	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	null	2017-10-08	null	null	null
20171009	2	Lunes	Lundi	9	282	41	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	2017-10-09	null	null	null	null	null
20171010	3	Martes	Mardi	10	283	41	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	null	null	null	2017-10-10	null
20171011	4	Miércoles	Mercredi	11	284	41	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	null	null	null	null	2017-10-11
20171012	5	Jueves	Jeudi	12	285	41	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	null	null	2017-10-12	null	null
20171013	6	Viernes	Vendredi	13	286	41	October	Octubre	Octobre	10	4	2017	2	2	2018	1	2017-10-13	null	null	null	null	null	null
20171014	7	Sábado	Samedi	14	287	41	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	2017-10-14	null	null	null	null
20171015	1	Domingo	Dimanche	15	288	42	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	null	2017-10-15	null	null	null
20171016	2	Lunes	Lundi	16	289	42	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	2017-10-16	null	null	null	null	null
20171017	3	Martes	Mardi	17	290	42	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	null	null	null	2017-10-17	null
20171018	4	Miércoles	Mercredi	18	291	42	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	null	null	null	null	2017-10-18
20171019	5	Jueves	Jeudi	19	292	42	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	null	null	2017-10-19	null	null
20171020	6	Viernes	Vendredi	20	293	42	October	Octubre	Octobre	10	4	2017	2	2	2018	1	2017-10-20	null	null	null	null	null	null
20171021	7	Sábado	Samedi	21	294	42	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	2017-10-21	null	null	null	null
20171022	1	Domingo	Dimanche	22	295	43	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	null	2017-10-22	null	null	null
20171023	2	Lunes	Lundi	23	296	43	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	2017-10-23	null	null	null	null	null
20171024	3	Martes	Mardi	24	297	43	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	null	null	null	2017-10-24	null
20171025	4	Miércoles	Mercredi	25	298	43	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	null	null	null	null	2017-10-25
20171026	5	Jueves	Jeudi	26	299	43	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	null	null	2017-10-26	null	null
20171027	6	Viernes	Vendredi	27	300	43	October	Octubre	Octobre	10	4	2017	2	2	2018	1	2017-10-27	null	null	null	null	null	null
20171028	7	Sábado	Samedi	28	301	43	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	2017-10-28	null	null	null	null
20171029	1	Domingo	Dimanche	29	302	44	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	null	2017-10-29	null	null	null
20171030	2	Lunes	Lundi	30	303	44	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	2017-10-30	null	null	null	null	null
20171031	3	Martes	Mardi	31	304	44	October	Octubre	Octobre	10	4	2017	2	2	2018	1	null	null	null	null	null	2017-10-31	null
20171101	4	Miércoles	Mercredi	1	305	44	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	null	null	null	null	2017-11-01
20171102	5	Jueves	Jeudi	2	306	44	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	null	null	2017-11-02	null	null
20171103	6	Viernes	Vendredi	3	307	44	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	2017-11-03	null	null	null	null	null	null
20171104	7	Sábado	Samedi	4	308	44	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	2017-11-04	null	null	null	null
20171105	1	Domingo	Dimanche	5	309	45	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	null	2017-11-05	null	null	null
20171106	2	Lunes	Lundi	6	310	45	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	2017-11-06	null	null	null	null	null
20171107	3	Martes	Mardi	7	311	45	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	null	null	null	2017-11-07	null
20171108	4	Miércoles	Mercredi	8	312	45	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	null	null	null	null	2017-11-08
20171109	5	Jueves	Jeudi	9	313	45	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	null	null	2017-11-09	null	null
20171110	6	Viernes	Vendredi	10	314	45	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	2017-11-10	null	null	null	null	null	null
20171111	7	Sábado	Samedi	11	315	45	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	2017-11-11	null	null	null	null
20171112	1	Domingo	Dimanche	12	316	46	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	null	2017-11-12	null	null	null
20171113	2	Lunes	Lundi	13	317	46	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	2017-11-13	null	null	null	null	null
20171114	3	Martes	Mardi	14	318	46	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	null	null	null	2017-11-14	null
20171115	4	Miércoles	Mercredi	15	319	46	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	null	null	null	null	2017-11-15
20171116	5	Jueves	Jeudi	16	320	46	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	null	null	2017-11-16	null	null
20171117	6	Viernes	Vendredi	17	321	46	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	2017-11-17	null	null	null	null	null	null
20171118	7	Sábado	Samedi	18	322	46	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	2017-11-18	null	null	null	null
20171119	1	Domingo	Dimanche	19	323	47	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	null	2017-11-19	null	null	null
20171120	2	Lunes	Lundi	20	324	47	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	2017-11-20	null	null	null	null	null
20171121	3	Martes	Mardi	21	325	47	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	null	null	null	2017-11-21	null
20171122	4	Miércoles	Mercredi	22	326	47	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	null	null	null	null	2017-11-22
20171123	5	Jueves	Jeudi	23	327	47	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	null	null	2017-11-23	null	null
20171124	6	Viernes	Vendredi	24	328	47	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	2017-11-24	null	null	null	null	null	null
20171125	7	Sábado	Samedi	25	329	47	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	2017-11-25	null	null	null	null
20171126	1	Domingo	Dimanche	26	330	48	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	null	2017-11-26	null	null	null
20171127	2	Lunes	Lundi	27	331	48	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	2017-11-27	null	null	null	null	null
20171128	3	Martes	Mardi	28	332	48	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	null	null	null	2017-11-28	null
20171129	4	Miércoles	Mercredi	29	333	48	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	null	null	null	null	2017-11-29
20171130	5	Jueves	Jeudi	30	334	48	November	Noviembre	Novembre	11	4	2017	2	2	2018	1	null	null	null	null	2017-11-30	null	null
20171201	6	Viernes	Vendredi	1	335	48	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	2017-12-01	null	null	null	null	null	null
20171202	7	Sábado	Samedi	2	336	48	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	2017-12-02	null	null	null	null
20171203	1	Domingo	Dimanche	3	337	49	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	null	2017-12-03	null	null	null
20171204	2	Lunes	Lundi	4	338	49	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	2017-12-04	null	null	null	null	null
20171205	3	Martes	Mardi	5	339	49	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	null	null	null	2017-12-05	null
20171206	4	Miércoles	Mercredi	6	340	49	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	null	null	null	null	2017-12-06
20171207	5	Jueves	Jeudi	7	341	49	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	null	null	2017-12-07	null	null
20171208	6	Viernes	Vendredi	8	342	49	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	2017-12-08	null	null	null	null	null	null
20171209	7	Sábado	Samedi	9	343	49	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	2017-12-09	null	null	null	null
20171210	1	Domingo	Dimanche	10	344	50	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	null	2017-12-10	null	null	null
20171211	2	Lunes	Lundi	11	345	50	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	2017-12-11	null	null	null	null	null
20171212	3	Martes	Mardi	12	346	50	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	null	null	null	2017-12-12	null
20171213	4	Miércoles	Mercredi	13	347	50	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	null	null	null	null	2017-12-13
20171214	5	Jueves	Jeudi	14	348	50	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	null	null	2017-12-14	null	null
20171215	6	Viernes	Vendredi	15	349	50	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	2017-12-15	null	null	null	null	null	null
20171216	7	Sábado	Samedi	16	350	50	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	2017-12-16	null	null	null	null
20171217	1	Domingo	Dimanche	17	351	51	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	null	2017-12-17	null	null	null
20171218	2	Lunes	Lundi	18	352	51	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	2017-12-18	null	null	null	null	null
20171219	3	Martes	Mardi	19	353	51	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	null	null	null	2017-12-19	null
20171220	4	Miércoles	Mercredi	20	354	51	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	null	null	null	null	2017-12-20
20171221	5	Jueves	Jeudi	21	355	51	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	null	null	2017-12-21	null	null
20171222	6	Viernes	Vendredi	22	356	51	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	2017-12-22	null	null	null	null	null	null
20171223	7	Sábado	Samedi	23	357	51	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	2017-12-23	null	null	null	null
20171224	1	Domingo	Dimanche	24	358	52	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	null	2017-12-24	null	null	null
20171225	2	Lunes	Lundi	25	359	52	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	2017-12-25	null	null	null	null	null
20171226	3	Martes	Mardi	26	360	52	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	null	null	null	2017-12-26	null
20171227	4	Miércoles	Mercredi	27	361	52	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	null	null	null	null	2017-12-27
20171228	5	Jueves	Jeudi	28	362	52	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	null	null	2017-12-28	null	null
20171229	6	Viernes	Vendredi	29	363	52	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	2017-12-29	null	null	null	null	null	null
20171230	7	Sábado	Samedi	30	364	52	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	2017-12-30	null	null	null	null
20171231	1	Domingo	Dimanche	31	365	53	December	Diciembre	Décembre	12	4	2017	2	2	2018	1	null	null	null	2017-12-31	null	null	null
20180101	2	Lunes	Lundi	1	1	1	January	Enero	Janvier	1	1	2018	1	3	2018	2	null	2018-01-01	null	null	null	null	null
20180102	3	Martes	Mardi	2	2	1	January	Enero	Janvier	1	1	2018	1	3	2018	2	null	null	null	null	null	2018-01-02	null
20180103	4	Miércoles	Mercredi	3	3	1	January	Enero	Janvier	1	1	2018	1	3	2018	2	null	null	null	null	null	null	2018-01-03
20180104	5	Jueves	Jeudi	4	4	1	January	Enero	Janvier	1	1	2018	1	3	2018	2	null	null	null	null	2018-01-04	null	null
20180105	6	Viernes	Vendredi	5	5	1	January	Enero	Janvier	1	1	2018	1	3	2018	2	2018-01-05	null	null	null	null	null	null
20180106	7	Sábado	Samedi	6	6	1	January	Enero	Janvier	1	1	2018	1	3	2018	2	null	null	2018-01-06	null	null	null	null
20180107	1	Domingo	Dimanche	7	7	2	January	Enero	Janvier	1	1	2018	1	3	2018	2	null	null	null	2018-01-07	null	null	null
20180108	2	Lunes	Lundi	8	8	2	January	Enero	Janvier	1	1	2018	1	3	2018	2	null	2018-01-08	null	null	null	null	null
20180109	3	Martes	Mardi	9	9	2	January	Enero	Janvier	1	1	2018	1	3	2018	2	null	null	null	null	null	2018-01-09	null
20180110	4	Miércoles	Mercredi	10	10	2	January	Enero	Janvier	1	1	2018	1	3	2018	2	null	null	null	null	null	null	2018-01-10
20180111	5	Jueves	Jeudi	11	11	2	January	Enero	Janvier	1	1	2018	1	3	2018	2	null	null	null	null	2018-01-11	null	null
