FinanceKey,DateKey,OrganizationKey,DepartmentGroupKey,ScenarioKey,AccountKey,Amount
308,20170701,4,7,1,19,34976
309,20170701,4,7,1,20,10646
310,20170701,4,7,1,21,48713
311,20170701,4,7,1,22,9416
312,20170701,4,7,1,23,3849
313,20170701,4,7,1,24,20310
314,20170701,4,7,1,28,16196
315,20170701,4,7,1,29,149442
316,20170701,4,7,1,31,46294
317,20170701,4,7,1,32,25924
318,20170701,4,7,1,33,21738
319,20170701,4,7,1,34,12448
320,20170701,4,7,1,35,32590
321,20170701,4,7,1,37,25665
322,20170701,4,7,1,38,26166
323,20170701,4,7,1,39,45395
324,20170701,4,7,1,40,23636
325,20170701,4,7,1,42,350000
326,20170701,4,7,1,43,-491124
327,20170701,4,7,1,45,291070
328,20170701,4,7,1,46,-27492
329,20170701,4,7,1,100,16719
330,20170701,5,1,1,60,33920
331,20170701,5,1,2,60,31600
332,20170701,5,1,2,61,2700
333,20170701,5,1,1,61,3731
334,20170701,5,1,1,62,2035
335,20170701,5,1,2,62,1900
336,20170701,5,1,2,65,480
337,20170701,5,1,1,65,440
338,20170701,5,1,1,66,400
339,20170701,5,1,2,66,380
340,20170701,5,1,2,67,200
341,20170701,5,1,1,67,208
342,20170701,5,1,1,68,152
343,20170701,5,1,2,68,200
344,20170701,5,1,1,69,44
345,20170701,5,1,1,71,64
346,20170701,5,1,2,71,90
347,20170701,5,1,2,73,300
348,20170701,5,1,1,73,301
349,20170701,5,1,1,74,192
350,20170701,5,1,2,74,200
351,20170701,5,1,2,76,380
352,20170701,5,1,1,76,384
353,20170701,5,1,1,77,691
354,20170701,5,1,2,77,650
355,20170701,5,1,2,78,200
356,20170701,5,1,1,78,210
357,20170701,5,1,1,80,806
358,20170701,5,1,2,80,850
359,20170701,5,1,2,81,550
360,20170701,5,1,1,81,499
361,20170701,5,1,1,82,49
362,20170701,5,1,2,82,60
363,20170701,5,1,2,83,200
364,20170701,5,1,1,83,172
365,20170701,5,1,1,84,147
366,20170701,5,1,2,84,200
367,20170701,5,1,2,85,200
368,20170701,5,1,1,85,138
369,20170701,5,1,1,87,720
370,20170701,5,1,2,87,750
371,20170701,5,1,1,89,144
372,20170701,5,1,1,90,220
373,20170701,5,1,1,91,-176
374,20170701,5,1,1,92,294
375,20170701,5,1,1,94,219
376,20170701,5,1,1,96,8
377,20170701,5,2,1,12,17392
378,20170701,5,6,1,52,1683
379,20170701,5,6,2,52,2200
380,20170701,5,6,2,53,-250
381,20170701,5,6,1,53,-561
382,20170701,5,6,1,56,21575
383,20170701,5,6,2,56,22700
384,20170701,5,6,2,57,500
385,20170701,5,6,1,57,467
386,20170701,5,6,1,60,25480
387,20170701,5,6,2,60,26400
388,20170701,5,6,2,61,2600
389,20170701,5,6,1,61,2038
390,20170701,5,6,1,62,2293
391,20170701,5,6,2,62,1800
392,20170701,5,6,2,63,8700
393,20170701,5,6,1,63,2244
394,20170701,5,6,1,65,553
395,20170701,5,6,2,65,380
396,20170701,5,6,2,66,380
397,20170701,5,6,1,66,503
398,20170701,5,6,1,67,252
399,20170701,5,6,2,67,200
400,20170701,5,6,2,68,200
401,20170701,5,6,1,68,189
402,20170701,5,6,1,69,55
403,20170701,5,6,1,71,49
404,20170701,5,6,2,71,70
405,20170701,5,6,2,72,280
406,20170701,5,6,1,72,168
407,20170701,5,6,1,73,336
408,20170701,5,6,2,73,300
409,20170701,5,6,2,74,200
410,20170701,5,6,1,74,248
411,20170701,5,6,1,76,846
412,20170701,5,6,2,76,1700
413,20170701,5,6,2,77,550
414,20170701,5,6,1,77,667
415,20170701,5,6,1,78,178
416,20170701,5,6,2,78,200
417,20170701,5,6,2,80,650
418,20170701,5,6,1,80,668
419,20170701,5,6,1,81,414
420,20170701,5,6,2,81,480
421,20170701,5,6,2,82,40
422,20170701,5,6,1,82,40
423,20170701,5,6,1,83,140
424,20170701,5,6,2,83,200
425,20170701,5,6,2,84,100
426,20170701,5,6,1,84,116
427,20170701,5,6,1,85,112
428,20170701,5,6,2,85,100
429,20170701,5,6,2,87,550
430,20170701,5,6,1,87,630
431,20170701,5,6,1,89,113
432,20170701,5,6,1,90,174
433,20170701,5,6,1,91,-139
434,20170701,5,6,1,92,232
435,20170701,5,6,1,94,4254
436,20170701,5,6,1,96,7
437,20170701,5,6,1,97,95
438,20170701,5,6,1,99,38500
439,20170701,5,6,2,101,53300
440,20170701,5,6,1,101,56105
441,20170701,5,7,1,4,64261
442,20170701,5,7,1,6,95647
443,20170701,5,7,1,7,2552
444,20170701,5,7,1,8,1912
445,20170701,5,7,1,13,15064
446,20170701,5,7,1,14,10425
447,20170701,5,7,1,15,17407
448,20170701,5,7,1,18,8232
449,20170701,5,7,1,19,26232
450,20170701,5,7,1,20,7738
451,20170701,5,7,1,21,43030
452,20170701,5,7,1,22,7062
453,20170701,5,7,1,23,2886
454,20170701,5,7,1,24,15979
455,20170701,5,7,1,28,13062
456,20170701,5,7,1,29,114372
457,20170701,5,7,1,31,34833
458,20170701,5,7,1,32,17346
459,20170701,5,7,1,33,16943
460,20170701,5,7,1,34,6427
461,20170701,5,7,1,35,23503
462,20170701,5,7,1,37,19883
463,20170701,5,7,1,38,20232
464,20170701,5,7,1,39,35207
465,20170701,5,7,1,40,19062
466,20170701,5,7,1,42,350000
467,20170701,5,7,1,43,-657203,8
468,20170701,5,7,1,45,359790,8
469,20170701,5,7,1,46,-51614
470,20170701,5,7,1,100,13976
471,20170701,6,1,1,60,20800
472,20170701,6,1,2,60,19800
473,20170701,6,1,2,61,1800
474,20170701,6,1,1,61,2080
475,20170701,6,1,1,62,1040
476,20170701,6,1,2,62,1200
477,20170701,6,1,2,65,280
478,20170701,6,1,1,65,218
479,20170701,6,1,1,66,198
480,20170701,6,1,2,66,280
481,20170701,6,1,2,67,100
482,20170701,6,1,1,67,109
483,20170701,6,1,1,68,78
484,20170701,6,1,2,68,100
485,20170701,6,1,1,69,22
486,20170701,6,1,1,71,31
487,20170701,6,1,2,71,60
488,20170701,6,1,2,73,220
489,20170701,6,1,1,73,169
490,20170701,6,1,1,74,105
491,20170701,6,1,2,74,100
492,20170701,6,1,2,76,200
493,20170701,6,1,1,76,237
494,20170701,6,1,1,77,426
495,20170701,6,1,2,77,380
496,20170701,6,1,2,78,100
497,20170701,6,1,1,78,147
498,20170701,6,1,1,80,584
499,20170701,6,1,2,80,550
500,20170701,6,1,2,81,280
501,20170701,6,1,1,81,361
502,20170701,6,1,1,82,38
503,20170701,6,1,2,82,30
504,20170701,6,1,2,83,100
505,20170701,6,1,1,83,133
506,20170701,6,1,1,84,118
507,20170701,6,1,2,84,100
508,20170701,6,1,2,85,90
509,20170701,6,1,1,85,106
510,20170701,6,1,1,87,468
511,20170701,6,1,2,87,480
512,20170701,6,1,1,89,177
513,20170701,6,1,1,90,273
514,20170701,6,1,1,91,-218
515,20170701,6,1,1,92,364
516,20170701,6,1,1,94,82
517,20170701,6,1,1,96,8
518,20170701,6,2,1,12,38012
519,20170701,6,2,1,60,7800
520,20170701,6,2,2,60,6600
521,20170701,6,2,2,61,550
522,20170701,6,2,1,61,624
523,20170701,6,2,1,62,780
524,20170701,6,2,2,62,480
525,20170701,6,2,2,65,100
526,20170701,6,2,1,65,164
527,20170701,6,2,1,66,149
528,20170701,6,2,2,66,100
529,20170701,6,2,2,67,60
530,20170701,6,2,1,67,74
531,20170701,6,2,1,68,55
532,20170701,6,2,2,68,40
533,20170701,6,2,1,69,16
534,20170701,6,2,1,71,16
535,20170701,6,2,2,71,30
536,20170701,6,2,2,73,100
537,20170701,6,2,1,73,96
538,20170701,6,2,1,74,160
539,20170701,6,2,2,74,100
540,20170701,6,2,2,76,90
541,20170701,6,2,1,76,105
542,20170701,6,2,1,77,189
543,20170701,6,2,2,77,200
544,20170701,6,2,2,78,50
545,20170701,6,2,1,78,61
546,20170701,6,2,1,80,209
547,20170701,6,2,2,80,200
548,20170701,6,2,2,81,100
549,20170701,6,2,1,81,129
550,20170701,6,2,1,82,13
551,20170701,6,2,2,82,10
552,20170701,6,2,2,83,40
553,20170701,6,2,1,83,46
554,20170701,6,2,1,84,40
555,20170701,6,2,2,84,30
556,20170701,6,2,2,85,30
557,20170701,6,2,1,85,36
558,20170701,6,2,1,87,176
559,20170701,6,2,2,87,200
560,20170701,6,2,1,89,60
561,20170701,6,2,1,90,93
562,20170701,6,2,1,91,-74
563,20170701,6,2,1,92,124
564,20170701,6,2,1,94,29
565,20170701,6,2,1,96,3
566,20170701,6,3,1,10,308472
567,20170701,6,3,1,11,176270
568,20170701,6,3,1,60,22698
569,20170701,6,3,2,60,23000
570,20170701,6,3,2,61,2300
571,20170701,6,3,1,61,2497
572,20170701,6,3,1,62,2042
573,20170701,6,3,2,62,1700
574,20170701,6,3,2,65,380
575,20170701,6,3,1,65,468
576,20170701,6,3,1,66,426
577,20170701,6,3,2,66,380
578,20170701,6,3,2,67,200
579,20170701,6,3,1,67,211
580,20170701,6,3,1,68,158
581,20170701,6,3,2,68,200
582,20170701,6,3,1,69,47
583,20170701,6,3,1,71,35
584,20170701,6,3,2,71,70
585,20170701,6,3,2,73,300
586,20170701,6,3,1,73,281
587,20170701,6,3,1,74,167
588,20170701,6,3,2,74,100
589,20170701,6,3,2,76,280
590,20170701,6,3,1,76,310
591,20170701,6,3,1,77,558
592,20170701,6,3,2,77,550
593,20170701,6,3,2,78,200
594,20170701,6,3,1,78,154
595,20170701,6,3,1,80,602
596,20170701,6,3,2,80,550
597,20170701,6,3,2,81,380
598,20170701,6,3,1,81,372
599,20170701,6,3,1,82,37
600,20170701,6,3,2,82,40
601,20170701,6,3,2,83,200
602,20170701,6,3,1,83,130
603,20170701,6,3,1,84,112
604,20170701,6,3,2,84,100
605,20170701,6,3,2,85,100
606,20170701,6,3,1,85,104
607,20170701,6,3,1,87,527
608,20170701,6,3,2,87,480
609,20170701,6,3,1,89,168
610,20170701,6,3,1,90,259
611,20170701,6,3,1,91,-207
612,20170701,6,3,1,92,345
613,20170701,6,3,1,94,84
614,20170701,6,3,1,96,9
615,20170701,6,4,1,60,16692
616,20170701,6,4,2,60,17200
617,20170701,6,4,2,61,1500
618,20170701,6,4,1,61,1502
619,20170701,6,4,1,62,1168
620,20170701,6,4,2,62,1400
621,20170701,6,4,2,65,280
622,20170701,6,4,1,65,238
623,20170701,6,4,1,66,216
624,20170701,6,4,2,66,280
625,20170701,6,4,2,67,100
626,20170701,6,4,1,67,109
627,20170701,6,4,1,68,82
628,20170701,6,4,2,68,100
629,20170701,6,4,1,69,24
630,20170701,6,4,1,71,39
631,20170701,6,4,2,71,50
632,20170701,6,4,2,73,220
633,20170701,6,4,1,73,157
634,20170701,6,4,1,74,129
635,20170701,6,4,2,74,200
636,20170701,6,4,2,76,200
637,20170701,6,4,1,76,191
638,20170701,6,4,1,77,344
639,20170701,6,4,2,77,380
640,20170701,6,4,2,78,100
641,20170701,6,4,1,78,104
642,20170701,6,4,1,80,393
643,20170701,6,4,2,80,380
644,20170701,6,4,2,81,280
645,20170701,6,4,1,81,243
646,20170701,6,4,1,82,24
647,20170701,6,4,2,82,30
648,20170701,6,4,2,83,100
649,20170701,6,4,1,83,84
650,20170701,6,4,1,84,72
651,20170701,6,4,2,84,90
652,20170701,6,4,2,85,80
653,20170701,6,4,1,85,67
654,20170701,6,4,1,87,351
655,20170701,6,4,2,87,380
656,20170701,6,4,1,89,107
657,20170701,6,4,1,90,165
658,20170701,6,4,1,91,-132
659,20170701,6,4,1,92,220
660,20170701,6,4,1,94,55
661,20170701,6,4,1,96,6
662,20170701,6,5,1,60,9984
663,20170701,6,5,2,60,9700
664,20170701,6,5,2,61,850
665,20170701,6,5,1,61,1098
666,20170701,6,5,1,62,898
667,20170701,6,5,2,62,750
668,20170701,6,5,2,65,200
669,20170701,6,5,1,65,198
670,20170701,6,5,1,66,179
671,20170701,6,5,2,66,100
672,20170701,6,5,2,67,70
673,20170701,6,5,1,67,88
674,20170701,6,5,1,68,68
675,20170701,6,5,2,68,60
676,20170701,6,5,1,69,20
677,20170701,6,5,1,71,18
678,20170701,6,5,2,71,40
679,20170701,6,5,2,73,120
680,20170701,6,5,1,73,122
681,20170701,6,5,1,74,148
682,20170701,6,5,2,74,100
683,20170701,6,5,2,76,100
684,20170701,6,5,1,76,135
685,20170701,6,5,1,77,243
686,20170701,6,5,2,77,200
687,20170701,6,5,2,78,70
688,20170701,6,5,1,78,71
689,20170701,6,5,1,80,262
690,20170701,6,5,2,80,200
691,20170701,6,5,2,81,200
692,20170701,6,5,1,81,162
693,20170701,6,5,1,82,16
694,20170701,6,5,2,82,20
695,20170701,6,5,2,83,50
696,20170701,6,5,1,83,55
697,20170701,6,5,1,84,47
698,20170701,6,5,2,84,50
699,20170701,6,5,2,85,40
700,20170701,6,5,1,85,44
701,20170701,6,5,1,87,234
702,20170701,6,5,2,87,200
703,20170701,6,5,1,89,71
704,20170701,6,5,1,90,109
705,20170701,6,5,1,91,-87
706,20170701,6,5,1,92,145
707,20170701,6,5,1,94,36
708,20170701,6,5,1,96,4
709,20170701,6,6,1,52,8772
710,20170701,6,6,2,52,8300
711,20170701,6,6,2,53,4100
712,20170701,6,6,1,53,3759
713,20170701,6,6,1,56,47208
714,20170701,6,6,2,56,40600
715,20170701,6,6,2,57,6700
716,20170701,6,6,1,57,4177
717,20170701,6,6,1,60,17108
718,20170701,6,6,2,60,18000
719,20170701,6,6,2,61,1500
720,20170701,6,6,1,61,1539
721,20170701,6,6,1,62,1368
722,20170701,6,6,2,62,1400
723,20170701,6,6,2,63,6900
724,20170701,6,6,1,63,2443
725,20170701,6,6,1,65,314
726,20170701,6,6,2,65,280
727,20170701,6,6,2,66,280
728,20170701,6,6,1,66,285
729,20170701,6,6,1,67,146
730,20170701,6,6,2,67,200
731,20170701,6,6,2,68,100
732,20170701,6,6,1,68,109
733,20170701,6,6,1,69,31
734,20170701,6,6,1,71,36
735,20170701,6,6,2,71,50
736,20170701,6,6,2,72,550
737,20170701,6,6,1,72,244
738,20170701,6,6,1,73,201
739,20170701,6,6,2,73,220
740,20170701,6,6,2,74,200
741,20170701,6,6,1,74,145
742,20170701,6,6,1,76,896
743,20170701,6,6,2,76,1400
744,20170701,6,6,2,77,380
745,20170701,6,6,1,77,417
746,20170701,6,6,1,78,126
747,20170701,6,6,2,78,100
748,20170701,6,6,2,80,480
749,20170701,6,6,1,80,487
750,20170701,6,6,1,81,302
751,20170701,6,6,2,81,280
752,20170701,6,6,2,82,30
753,20170701,6,6,1,82,31
754,20170701,6,6,1,83,107
755,20170701,6,6,2,83,100
756,20170701,6,6,2,84,100
757,20170701,6,6,1,84,94
758,20170701,6,6,1,85,86
759,20170701,6,6,2,85,90
760,20170701,6,6,2,87,380
761,20170701,6,6,1,87,410
762,20170701,6,6,1,89,142
763,20170701,6,6,1,90,218
764,20170701,6,6,1,91,-174
765,20170701,6,6,1,92,291
766,20170701,6,6,1,94,3350
767,20170701,6,6,1,96,7
768,20170701,6,6,1,97,135
769,20170701,6,6,1,99,9000
770,20170701,6,6,2,101,162900
771,20170701,6,6,1,101,125316
772,20170701,6,7,1,4,147741
773,20170701,6,7,1,6,199915
774,20170701,6,7,1,7,6077
775,20170701,6,7,1,8,3998
776,20170701,6,7,1,13,31186
777,20170701,6,7,1,14,19991
778,20170701,6,7,1,15,38783
779,20170701,6,7,1,18,9604
780,20170701,6,7,1,19,30604
781,20170701,6,7,1,20,10564
782,20170701,6,7,1,21,109144
783,20170701,6,7,1,22,8239
784,20170701,6,7,1,23,3402
785,20170701,6,7,1,24,16551
786,20170701,6,7,1,28,13715
787,20170701,6,7,1,29,124092
788,20170701,6,7,1,31,94236
789,20170701,6,7,1,32,24240
790,20170701,6,7,1,33,18648
791,20170701,6,7,1,34,14553
792,20170701,6,7,1,35,29888
793,20170701,6,7,1,37,22950
794,20170701,6,7,1,38,22187
795,20170701,6,7,1,39,89617
796,20170701,6,7,1,40,20015
797,20170701,6,7,1,42,350000
798,20170701,6,7,1,43,-252025,7
799,20170701,6,7,1,45,629881,7
800,20170701,6,7,1,46,-58073
801,20170701,6,7,1,100,14629
802,20170701,7,1,1,60,37080
803,20170701,7,1,2,60,36600
804,20170701,7,1,2,61,3100
805,20170701,7,1,1,61,2966
806,20170701,7,1,1,62,3337
807,20170701,7,1,2,62,2800
808,20170701,7,1,2,65,550
809,20170701,7,1,1,65,711
810,20170701,7,1,1,66,647
811,20170701,7,1,2,66,550
812,20170701,7,1,2,67,280
813,20170701,7,1,1,67,324
814,20170701,7,1,1,68,243
815,20170701,7,1,2,68,200
816,20170701,7,1,1,69,71
817,20170701,7,1,1,71,63
818,20170701,7,1,2,71,90
819,20170701,7,1,2,73,400
820,20170701,7,1,1,73,432
821,20170701,7,1,1,74,255
822,20170701,7,1,2,74,200
823,20170701,7,1,2,76,380
824,20170701,7,1,1,76,477
825,20170701,7,1,1,77,858
826,20170701,7,1,2,77,850
827,20170701,7,1,2,78,280
828,20170701,7,1,1,78,227
829,20170701,7,1,1,80,859
830,20170701,7,1,2,80,950
831,20170701,7,1,2,81,550
832,20170701,7,1,1,81,532
833,20170701,7,1,1,82,51
834,20170701,7,1,2,82,60
835,20170701,7,1,2,83,200
836,20170701,7,1,1,83,178
837,20170701,7,1,1,84,147
838,20170701,7,1,2,84,200
839,20170701,7,1,2,85,200
840,20170701,7,1,1,85,142
841,20170701,7,1,1,87,810
842,20170701,7,1,2,87,750
843,20170701,7,1,1,89,144
844,20170701,7,1,1,90,221
845,20170701,7,1,1,91,-177
846,20170701,7,1,1,92,295
847,20170701,7,1,1,94,273
848,20170701,7,1,1,96,9
849,20170701,7,2,1,12,27642
850,20170701,7,6,1,52,782
